Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
6687	0.418274	7104	0.058559	703	0.287340	5506	0.350890	0.233422	1736	0.241359	0.274326	1755	0.227350	0.000000	1779	0.949972	0.000035	1417	0.203952	36.803011	5506	0.350890	0.267350	0.222739	
6331	0.411467	7230	0.066252	732	0.326503	5707	0.315928	0.233422	1703	0.236054	0.274326	1770	0.262712	0.000001	1797	0.936561	0.000189	1061	0.051838	36.803011	5707	0.315928	0.256300	0.222764	
6436	0.408017	7113	0.062280	737	0.339213	5714	0.325341	0.233422	1777	0.266179	0.274326	1761	0.250426	0.000001	1788	0.898210	0.000098	1110	0.095495	36.803011	5714	0.325341	0.258900	0.222791	
6497	0.359858	7058	0.060357	698	0.352436	5747	0.370802	0.233422	1800	0.202222	0.274326	1781	0.249860	0.000002	1782	0.800224	0.000098	1134	0.090829	36.803011	5747	0.370802	0.257050	0.222817	
6626	0.340930	6988	0.072124	752	0.405585	5634	0.324814	0.233422	1784	0.243834	0.274326	1732	0.267898	0.000004	1849	0.646836	0.000066	1261	0.130056	36.803011	5634	0.324814	0.244900	0.222834	
6737	0.327000	6994	0.061624	723	0.365145	5546	0.353768	0.233422	1748	0.239130	0.274326	1723	0.242600	0.000005	1806	0.621262	0.000040	1460	0.167808	36.803011	5546	0.353768	0.243000	0.222849	
6828	0.311804	6883	0.061456	726	0.380165	5563	0.322128	0.233422	1769	0.231769	0.274326	1682	0.256243	0.000008	1724	0.511021	0.000029	1653	0.246219	36.803011	5563	0.322128	0.231000	0.222855	
6388	0.216030	7149	0.061547	737	0.401628	5726	0.329899	0.233422	1805	0.243213	0.274326	1792	0.251116	0.000013	1716	0.254079	0.000161	1075	0.051163	36.803011	5726	0.329899	0.200250	0.222838	
5890	0.187267	7414	0.059752	692	0.355491	6004	0.320953	0.233422	1887	0.254902	0.274326	1867	0.244778	0.000156	1005	0.060697	0.000118	1131	0.091954	36.803011	6004	0.320953	0.185950	0.222810	
6128	0.198270	7307	0.054605	704	0.365057	5861	0.284081	0.233422	1888	0.228284	0.274326	1804	0.269956	0.000082	1160	0.094828	0.000084	1276	0.146552	36.803011	5861	0.284081	0.176800	0.222776	
6034	0.203348	7356	0.067156	731	0.313269	5879	0.335431	0.233422	1766	0.272933	0.274326	1905	0.271391	0.000081	1125	0.074667	0.000075	1238	0.116317	36.803011	5879	0.335431	0.196100	0.222756	
5983	0.207254	7392	0.064665	693	0.336219	5932	0.344403	0.233422	1776	0.250000	0.274326	1788	0.265660	0.000050	1184	0.103041	0.000055	1235	0.161134	36.803011	5932	0.344403	0.199700	0.222739	
6093	0.191203	7464	0.058414	710	0.292958	5733	0.368394	0.233422	1796	0.239978	0.274326	1838	0.239391	0.000040	1227	0.127139	0.000055	1232	0.112013	36.803011	5733	0.368394	0.196050	0.222719	
6504	0.221248	7194	0.057687	721	0.348128	5581	0.347250	0.233422	1785	0.248739	0.274326	1755	0.255271	0.000036	1307	0.130069	0.000028	1657	0.227520	36.803011	5581	0.347250	0.202150	0.222704	
6157	0.201884	7313	0.060304	719	0.336579	5811	0.351919	0.233422	1860	0.245161	0.274326	1795	0.245682	0.000027	1405	0.192171	0.000122	1097	0.069280	36.803011	5811	0.351919	0.198550	0.222686	
6189	0.208273	7323	0.065274	697	0.331420	5791	0.376619	0.233422	1822	0.233260	0.274326	1816	0.258260	0.000020	1504	0.195479	0.000101	1047	0.096466	36.803011	5791	0.376619	0.208950	0.222676	
6551	0.253396	7010	0.070043	703	0.345661	5736	0.330893	0.233422	1727	0.244354	0.274326	1868	0.260171	0.000011	1762	0.359251	0.000073	1194	0.099665	36.803011	5736	0.330893	0.214600	0.222670	
6219	0.223830	7162	0.057945	776	0.306701	5843	0.316447	0.233422	1755	0.290028	0.274326	1861	0.273509	0.000118	1093	0.068618	0.000041	1510	0.198013	36.803011	5843	0.316447	0.194700	0.222649	
6284	0.207034	7198	0.063629	722	0.347645	5796	0.326777	0.233422	1755	0.257550	0.274326	1886	0.235419	0.000087	1102	0.078040	0.000030	1541	0.207008	36.803011	5796	0.326777	0.195200	0.222628	
6048	0.196098	7329	0.070951	732	0.389344	5891	0.323035	0.233422	1876	0.256397	0.274326	1809	0.266998	0.000069	1184	0.098818	0.000110	1179	0.089059	36.803011	5891	0.323035	0.194700	0.222608	
